video_id,title,publish_date,viewCount,likeCount,dislikeCount,commentCount,subject,link
4W0f7FmcJyg,The Arcs: NPR Tiny Desk Concert,2016-01-25,345923,4216,51,295,The Arcs,https://www.youtube.com/watch?v=4W0f7FmcJyg
AE-YaL0Y3bo,K'Naan: NPR Music Tiny Desk Concert,2009-11-11,339153,2224,32,183,K'Naan:,https://www.youtube.com/watch?v=AE-YaL0Y3bo
NO-1Euq2RBk,Bill Frisell: NPR Music Tiny Desk Concert,2012-02-05,338434,2960,17,252,Bill Frisell:,https://www.youtube.com/watch?v=NO-1Euq2RBk
syxhhSFNe-c,Sam Beam & Jesca Hoop: NPR Music Tiny Desk Concert,2016-06-06,337466,3983,52,325,Sam Beam & Jesca Hoop:,https://www.youtube.com/watch?v=syxhhSFNe-c
F-u3SOPjN38,James Vincent McMorrow: NPR Music Tiny Desk Concert,2011-08-25,325303,3301,25,212,James Vincent McMorrow:,https://www.youtube.com/watch?v=F-u3SOPjN38
KMQQqa21ZVs,Wilco: NPR Music Tiny Desk Concert,2016-02-23,315906,2053,96,141,Wilco:,https://www.youtube.com/watch?v=KMQQqa21ZVs
wMj-Ai9NOjY,Ben Gibbard: NPR Music Tiny Desk Concert,2012-11-26,314568,2164,36,183,Ben Gibbard:,https://www.youtube.com/watch?v=wMj-Ai9NOjY
0lNFHD0lUAQ,Mitski: NPR Music Tiny Desk Concert,2015-08-31,313329,5496,516,434,Mitski:,https://www.youtube.com/watch?v=0lNFHD0lUAQ
88_jAJ-MduU,Oddisee: NPR Music Tiny Desk Concert,2015-06-26,308727,8478,38,331,Oddisee:,https://www.youtube.com/watch?v=88_jAJ-MduU
iBDrTHCSWDc,Valerie June: NPR Music Tiny Desk Concert,2013-10-15,294028,2930,58,212,Valerie June:,https://www.youtube.com/watch?v=iBDrTHCSWDc
BGpmIANN5Lg,Gallant: NPR Music Tiny Desk Concert,2017-02-06,292972,8380,104,440,Gallant:,https://www.youtube.com/watch?v=BGpmIANN5Lg
